linha_produto,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global
TORNEIRA 3 VIAS LUER LOCK,PRODUTOS PARA SAUDE,4,"['DESCARPACK', 'MEDIX', 'SEVEN CARE', 'TKL']",87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0000000000000002,87621,torneira 3 vias luer lock,1.0,1.0,1.0000000000000002,1.1102230246251565e-16,tfidf,87621,torneira 3 vias luer lock
PROBIATOP 1G SACHE,L. ACIDOPHILUS + L. RHAMNOSUS +  L. PARACASEI + B. LACTIS,1,['FQM'],87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0000000000000002,87131,probiatop 1g sache,1.0,1.0,1.0000000000000002,1.1102230246251565e-16,tfidf,87131,probiatop 1g sache
DIVALPROATO DE SODIO (500 MG COMPRIMIDO) (C1),DIVALPROATO DE SODIO,1,['ZYDUS'],92912,divalproato de sodio 500 mg com,1.0,92912,divalproato de sodio 500 mg com,0.95,92912,divalproato de sodio 500 mg com,0.95,92912,divalproato de sodio 500 mg com,0.9765250539528648,92912,divalproato de sodio 500 mg com,0.9676989912986755,0.968844809050308,1.0,0.02086383617338935,fuzz_token_set,92912,divalproato de sodio 500 mg com
ESPIRONOLACTONA (50MG COMPRIMIDO),ESPIRONOLACTONA,1,['EMS'],86775,espironolactona 50 mg com,0.98,86775,espironolactona 50 mg com,0.9,86775,espironolactona 50 mg com,0.98,86775,espironolactona 50 mg com,0.9550443320878501,86775,espironolactona 50 mg com,1.0,0.96300886641757,1.0,0.03866294174937289,spacy,86775,espironolactona 50 mg com
HIDROCLOROTIAZIDA (25MG COMPRIMIDO),HIDROCLOROTIAZIDA,3,"['EMS', 'HYPERA', 'NEO QUIMICA']",86618,hidroclorotiazida 25 mg com,0.98,86618,hidroclorotiazida 25 mg com,0.91,86618,hidroclorotiazida 25 mg com,0.98,86618,hidroclorotiazida 25 mg com,0.9393663675145657,86618,hidroclorotiazida 25 mg com,1.0,0.9618732735029131,1.0,0.036428700983772336,spacy,86618,hidroclorotiazida 25 mg com
CLOREXIDINA 2%  AQUOSA 100ML,CLOREXIDINA,1,['VIC PHARMA'],84210,"clorexidina 0,2% solução aquosa 100ml",1.0,84213,"clorexidina aquosa 0,2% 1000ml",0.95,84210,"clorexidina 0,2% solução aquosa 100ml",0.95,84213,"clorexidina aquosa 0,2% 1000ml",0.9260344613672471,84215,clorexidina degermante 2% 100ml,0.9776607751846313,0.9607390473103756,1.0,0.028560592781401852,fuzz_token_set,84210,"clorexidina 0,2% solução aquosa 100ml"
SINVASTATINA (10MG COMPRIMIDO REV) ,SINVASTATINA,4,"['EMS', 'PHARLAB', 'SANDOZ']",87185,sinvastatina 10 mg com rev,0.98,87185,sinvastatina 10 mg com rev,0.9,87185,sinvastatina 10 mg com rev,0.98,87185,sinvastatina 10 mg com rev,0.9398822201823555,87185,sinvastatina 10 mg com rev,1.0,0.9599764440364711,1.0,0.040014754436251805,spacy,87185,sinvastatina 10 mg com rev
ESPIRONOLACTONA (25MG COMPRIMIDO),ESPIRONOLACTONA,2,"['EMS', 'GEOLAB']",83671,espironolactona 25 mg com,0.98,83671,espironolactona 25 mg com,0.9,83671,espironolactona 25 mg com,0.98,83671,espironolactona 25 mg com,0.9384639753723185,83671,espironolactona 25 mg com,1.0,0.9596927950744636,1.0,0.04019741435227125,spacy,83671,espironolactona 25 mg com
"CARVEDILOL (12,5MG COMPRIMIDO)",CARVEDILOL,1,['EMS'],86575,"carvedilol 12,5 mg com",0.98,86575,"carvedilol 12,5 mg com",0.88,86575,"carvedilol 12,5 mg com",0.98,86575,"carvedilol 12,5 mg com",0.9543869503961886,86575,"carvedilol 12,5 mg com",1.0,0.9588773900792378,1.0,0.04697128128091642,spacy,86575,"carvedilol 12,5 mg com"
"APIXABANA (5MG COMPRIMIDO REV)
",APIXABANA,3,"['NATCOFARMA', 'ZYDUS']",111917,apixabana 5 mg com rev,0.98,111917,apixabana 5 mg com rev,0.88,111917,apixabana 5 mg com rev,0.98,111917,apixabana 5 mg com rev,0.9542311643110576,87396,axitinibe 5 mg com rev inlyta,1.0,0.9588462328622114,1.0,0.046975056072784016,spacy,87396,axitinibe 5 mg com rev inlyta
NIMESULIDA (100MG COMPRIMIDO),NIMESULIDA,2,"['EMS', 'NEO QUIMICA']",87031,nimesulida 100 mg com,0.98,87031,nimesulida 100 mg com,0.88,87031,nimesulida 100 mg com,0.98,87031,nimesulida 100 mg com,0.9371863689455477,86788,fenobarbital 100 mg com,1.0,0.9554372737891095,1.0,0.048000961994294794,spacy,86788,fenobarbital 100 mg com
ARIPIPRAZOL (10MG COMPRIMIDO),ARIPIPRAZOL,6,"['FQM', 'LABORATORIO GLOBO', 'ZYDUS']",86486,aripiprazol 10 mg com,0.98,86486,aripiprazol 10 mg com,0.88,86486,aripiprazol 10 mg com,0.98,86486,aripiprazol 10 mg com,0.9362310848845893,86502,baclofeno 10 mg com,1.0000001192092896,0.9552462408187757,1.0000001192092896,0.04809360594391838,spacy,86502,baclofeno 10 mg com
DOMPERIDONA (10MG COMPRIMIDO),DOMPERIDONA,1,['EMS'],86729,domperidona 10 mg com,0.98,86729,domperidona 10 mg com,0.88,86729,domperidona 10 mg com,0.98,86729,domperidona 10 mg com,0.9318445438809021,86962,metadona 10 mg com,1.0,0.9543689087761804,1.0,0.048564863243448844,spacy,86962,metadona 10 mg com
ISOSSORBIDA (10MG/ML SOLUCAO INJETAVEL 1ML),MONONITRATO DE ISOSSORBIDA,1,['BIOLAB'],92960,isossorbida 10mg/ml 1ml,1.0,92960,isossorbida 10mg/ml 1ml,0.85,92960,isossorbida 10mg/ml 1ml,0.95,92960,isossorbida 10mg/ml 1ml,0.9726867132814189,115780,propofol 10mg/ml sol inj amp 20ml,0.9915848970413208,0.9528543220645478,1.0,0.06062848927940094,fuzz_token_set,92960,isossorbida 10mg/ml 1ml
"CARVEDILOL (6,25MG COMPRIMIDO)",CARVEDILOL,2,['EMS'],86578,"carvedilol 6,25 mg com",0.98,86578,"carvedilol 6,25 mg com",0.88,86578,"carvedilol 6,25 mg com",0.98,86578,"carvedilol 6,25 mg com",0.9122708940912144,86578,"carvedilol 6,25 mg com",1.0,0.9504541788182429,1.0,0.05153264509192609,spacy,86578,"carvedilol 6,25 mg com"
"SULFAMETOXAZOL+TRIMETOPRIMA (800+160MG COMPRIMIDO
",SULFAMETOXAZOL+TRIMETOPRIMA,3,"['BELFAR', 'FQM']",87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.99,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.91,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.95,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.9257204456099399,86408,aciclovir 200 mg com,0.9757442474365234,0.9502929386092926,0.99,0.03336103255412201,fuzz_token_set,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com
NIFEDIPINO (10MG COMPRIMIDO) ,NIFEDIPINO,3,['NEO QUIMICA'],87026,nifedipino 10 mg com,0.97,87026,nifedipino 10 mg com,0.87,87026,nifedipino 10 mg com,0.97,87026,nifedipino 10 mg com,0.9366592126144444,106816,everolimo 10 mg com ,1.0,0.9493318425228889,1.0,0.04968839008258242,spacy,106816,everolimo 10 mg com 
HIDROXIZINA (25MG COMPRIMIDO),HIDROXIZINA,3,"['EMS', 'GERMED']",86866,hidroxizina 25 mg com,0.98,86866,hidroxizina 25 mg com,0.88,86866,hidroxizina 25 mg com,0.98,86866,hidroxizina 25 mg com,0.9031133053420463,86866,hidroxizina 25 mg com,1.0,0.9486226610684092,1.0,0.05335934038030691,spacy,86866,hidroxizina 25 mg com
DEXAMETASONA (4MG COMPRIMIDO) ,DEXAMETASONA,2,['EMS'],86693,dexametasona 4 mg com,0.98,86693,dexametasona 4 mg com,0.88,86693,dexametasona 4 mg com,0.98,86693,dexametasona 4 mg com,0.9026074967956802,86693,dexametasona 4 mg com,1.0,0.948521499359136,1.0,0.0534675591813538,spacy,86693,dexametasona 4 mg com
BROMOPRIDA (10MG COMPRIMIDO),BROMOPRIDA,5,"['EMS', 'GERMED', 'LEGRAND', 'PRATI DONADUZZI']",86535,bromoprida 10 mg com,0.97,86535,bromoprida 10 mg com,0.87,86535,bromoprida 10 mg com,0.97,86535,bromoprida 10 mg com,0.9288888871753154,86535,bromoprida 10 mg com,1.0,0.947777777435063,1.0,0.050301559913823714,spacy,86535,bromoprida 10 mg com
LORATADINA (10MG COMPRIMIDO),LORATADINA,2,['EMS'],86937,loratadina 10 mg com,0.97,86937,loratadina 10 mg com,0.87,86937,loratadina 10 mg com,0.97,86937,loratadina 10 mg com,0.9208730842289886,86962,metadona 10 mg com,1.0,0.9461746168457976,1.0,0.05117423531658612,spacy,86962,metadona 10 mg com
"TIAMAZOL (5MG COMPRIMIDO)
",TIAMAZOL,1,['BIOLAB'],86976,tiamazol 5 mg com,0.97,86976,tiamazol 5 mg com,0.85,86976,tiamazol 5 mg com,0.97,86976,tiamazol 5 mg com,0.9398204811983053,86781,everolimo 5 mg com afinitor ,1.0000001192092896,0.945964120081519,1.0000001192092896,0.05771090211215562,spacy,86781,everolimo 5 mg com afinitor 
