linha_produto_x,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global,linha_key,confianca,linha_produto_y,custo_medio,custo_min,custo_max,cod_item_fuzzy,vl_medio,abc,desc_global_fuzzy,cod_item,prev_mes_rs,incerteza,prioridade,gap_custo_pct,ja_rodou_llm
"FATOR II, VII, IX DE COAGULACAO + FATOR X + PROTEINA C + PROTEINA S (500UI PO LIOF + SOL DIL 20ML)",FATOR IX DE COAGULACAO,1,['OCTAPHARMA'],86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,0.58,86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,0.53,115190,dupilumabe 150 mg/ml sol inj can 2 ml - dupixent,0.86,100952,ensure protein 220ml,0.2818261592361066,83653,ceftriaxona sodica 1 g iv/im po liof inj fa,0.7854523658752441,0.6074557050222701,0.86,0.2281716652370958,fuzz_wratio,115190,dupilumabe 150 mg/ml sol inj can 2 ml - dupixent,"FATOR II, VII, IX DE COAGULACAO + FATOR X + PROTEINA C + PROTEINA S (500UI PO LIOF + SOL DIL 20ML)",revisar,"FATOR II, VII, IX DE COAGULACAO + FATOR X + PROTEINA C + PROTEINA S (500UI PO LIOF + SOL DIL 20ML)",970.0,970.0,970.0,115190,4436.5,A,dupilumabe 150 mg/ml sol inj can 2 ml - dupixent,115190,647640.2699999999,0.42,272009.0,-78.1,False
"CISTEÂ¿NA, MAGNÂ¿SIO BISGLICINATO, BITARTARATO DE COLINA, GLICINA E COENZIMA Q10","CISTEÃNA, MAGNÃSIO BISGLICINATO, BITARTARATO DE COLINA, GLICINA E COENZIMA Q10",1,['MY PACK'],116647,"camara de umidificacao de alimentacao automatica vhc10, uso infantil, descartavel",0.48,116647,"camara de umidificacao de alimentacao automatica vhc10, uso infantil, descartavel",0.47,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86983,"metoprolol, tartarato 100 mg com rev",0.180533135839996,106529,teste de urease,0.6949635744094849,0.5370993420498962,0.86,0.2569474979154658,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,"CISTEÂ¿NA, MAGNÂ¿SIO BISGLICINATO, BITARTARATO DE COLINA, GLICINA E COENZIMA Q10",revisar,"CISTEÂ¿NA, MAGNÂ¿SIO BISGLICINATO, BITARTARATO DE COLINA, GLICINA E COENZIMA Q10",6.5,6.5,6.5,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.52,255920.0,-99.4,False
"SUPLEMENTO ALIMENTAR COM COLAGENO TIPO II, VITAMINA D, COBRE, MANGANES E ZINCO (COMPRIMIDO)",COLAGENO,1,['FQM'],116641,"kit de pequenos procedimentos uti esteril com um campo impermeavel, avental cirurgico e campo cirurgico simples ",0.5,86334,cetorolaco trometamina 10 mg com subl,0.5,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86943,magnesio + vitamina b3 cap ,0.1952647763282317,107398,agulha descartavel 25x6 c/ dispositivo de segurança,0.7495192289352417,0.5609568010526946,0.86,0.2579460913552632,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,"SUPLEMENTO ALIMENTAR COM COLAGENO TIPO II, VITAMINA D, COBRE, MANGANES E ZINCO (COMPRIMIDO)",revisar,"SUPLEMENTO ALIMENTAR COM COLAGENO TIPO II, VITAMINA D, COBRE, MANGANES E ZINCO (COMPRIMIDO)",0.921033,0.921033,0.921033,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.5,246077.0,-99.9,False
"SUPLEMENTO VITAMINICO COM COLAGENO, VITAMINA C, HIBISCOS E SABDARIFFA (SACHE 12 GRAMAS) ",COLAGENO,1,['FQM'],86943,magnesio + vitamina b3 cap ,0.5,106573,bolsa coletora para urostomia sensura mio sistema de 2 peças ref: 11499,0.46,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86323,cerne - 12 polivitaminico inj fa 5ml,0.2632024001987147,106547,whey protein isolado sache c/10g,0.6955363154411316,0.5557477431279693,0.86,0.2291115992309387,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,"SUPLEMENTO VITAMINICO COM COLAGENO, VITAMINA C, HIBISCOS E SABDARIFFA (SACHE 12 GRAMAS)",revisar,"SUPLEMENTO VITAMINICO COM COLAGENO, VITAMINA C, HIBISCOS E SABDARIFFA (SACHE 12 GRAMAS) ",2.428583,2.428583,2.428583,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.5,246077.0,-99.8,False
"SUPLEMENTO ALIMENTAR COM SILICIO, CISTEINA, FERRO, ZINCO, BIOTINA E VITAMINA D (COMPRIMIDO) ",SUPLEMENTO ALIMENTAR,4,['FQM'],107341,pulseira amarela com descrição - risco de queda,0.5,107341,pulseira amarela com descrição - risco de queda,0.49,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86943,magnesio + vitamina b3 cap ,0.1934622687539649,88049,mascara alta concent 100% oxig c reservatorio e extencao adulto,0.677031397819519,0.5440987333146968,0.86,0.247629766532416,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,"SUPLEMENTO ALIMENTAR COM SILICIO, CISTEINA, FERRO, ZINCO, BIOTINA E VITAMINA D (COMPRIMIDO)",revisar,"SUPLEMENTO ALIMENTAR COM SILICIO, CISTEINA, FERRO, ZINCO, BIOTINA E VITAMINA D (COMPRIMIDO) ",1.66995,0.648,2.2242,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.5,246077.0,-99.8,False
PROPIONATO DE FLUTICASONA (250MCG SOLUCAO COM PROPELENTE AEROSOL 60 DOSES COM APLICADOR),PROPIONATO DE FLUTICASONA,2,['GSK'],92938,"beclometasona, diproprionato+formoterol, fumarato+ glicopirronio, brometo 100/6/12,5mcg fr 120 doses",0.53,100391,"sol espumante antisseptica com phmb 0,2% e dimeticona frasco 150ml skilonfoam",0.52,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.3539318606157058,92937,"mometasona, furoato de spray nas fr 60 doses ",0.7666477560997009,0.6061159233430814,0.86,0.2043489547571882,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,PROPIONATO DE FLUTICASONA (250MCG SOLUCAO COM PROPELENTE AEROSOL 60 DOSES COM APLICADOR),revisar,PROPIONATO DE FLUTICASONA (250MCG SOLUCAO COM PROPELENTE AEROSOL 60 DOSES COM APLICADOR),90.0401,88.8848,91.1954,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.47,231312.0,-91.3,False
TUBO DE ENSAIO / FALCON / TAMPA,PRODUTOS PARA SAUDE,4,['CRAL'],103580,fixador de tubo orotraqueal velcro adulto,0.53,87755,tipoia p/ gesso em tnt,0.5,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,92744,pote pet c/ tampa 4ml,0.2529449929672796,103580,fixador de tubo orotraqueal velcro adulto,0.8075904250144958,0.5901070835963551,0.86,0.2477658236568015,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,TUBO DE ENSAIO / FALCON / TAMPA,revisar,TUBO DE ENSAIO / FALCON / TAMPA,0.423344,0.0557,0.907436,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.47,231312.0,-100.0,False
HIDRÃXIDO DE ALUMÃNIO,HIDROXIDO DE ALUMINIO,3,['IMEC'],87905,anuscopio fechado,0.53,87905,anuscopio fechado,0.53,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,83787,"papel aluminio 45cmx7,5m",0.1742413921418205,87538,preservativo de latex s/ lubrificante,0.6053715348243713,0.5399225853932383,0.86,0.2452818617542585,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,HIDRÃXIDO DE ALUMÃNIO,revisar,HIDRÃXIDO DE ALUMÃNIO,3.6999999999999997,2.9,4.2,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.47,231312.0,-99.6,False
GARROTE COM TRAVA ADULTO AZUL,PRODUTOS PARA SAUDE,1,['LABOR IMPORT'],108872,fixador de canula de traqueostomia adulto,0.57,87515,eletrodo descartavel adulto,0.54,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,84320,filtro hmef adulto,0.2422893783061773,103200,lixeira com pedal 25lts,0.7553144693374634,0.5935207695287281,0.86,0.2366271175925636,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,GARROTE COM TRAVA ADULTO AZUL,revisar,GARROTE COM TRAVA ADULTO AZUL,7.635933,7.635933,7.635933,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.43,211626.0,-99.3,False
"LEUPRORRELINA (3,75MG PO LIOF SUS INJ IM FA USO ADULTO/PEDIATRICO)",ACETATO DE LEUPRORRELINA,1,['SANDOZ'],86583,cefepima 1 g po liof inj fa,0.68,104303,"palmitato de paliperidona  350 mg/ 1,75ml sus inj lib prol ser preenc invegatrinza",0.51,108044,ravulizumabe 100 mg/ml fa 3 ml ultomiris,0.86,84316,filtro hmef pediatrico,0.3281197852030897,87094,pantoprazol 40 mg po liof inj fa,0.8537675142288208,0.6463774598863821,0.86,0.2289445667341354,fuzz_wratio,108044,ravulizumabe 100 mg/ml fa 3 ml ultomiris,"LEUPRORRELINA (3,75MG PO LIOF SUS INJ IM FA USO ADULTO/PEDIATRICO)",revisar,"LEUPRORRELINA (3,75MG PO LIOF SUS INJ IM FA USO ADULTO/PEDIATRICO)",216.2,216.2,216.2,108044,21799.0,A,ravulizumabe 100 mg/ml fa 3 ml ultomiris,108044,615821.75,0.32,197063.0,-99.0,False
