linha_produto,principio_ativo,n_skus,marcas,decision,cod_item,desc_global,confidence,reasoning,n_candidates,candidate_cod_items,model,cached,error,run_pass,custo_medio,custo_min,custo_max,vl_medio_global,prev_mes_rs,abc_global
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",CLORETO DE SODIO,4,"['FQM', 'HYPERA']",no_match,,,0.87,"Global é cloreto de sódio 0,9% SPRAY NASAL fr 100 ml. Match anterior (cod_item=83660) era solução IV frasco 100 ml sistema fechado, não spray nasal, e o preço R$3,50 vs Global R$17,26 → razão ~0,20× (<0,25×), confirmando produto/unidade errados. Entre os candidatos listados não há spray nasal de NaCl 0,9% 100 ml: p.ex., 92937 é mometasona spray nasal (princípio diferente) apesar do preço R$17,55; 87116 é cloreto de sódio gel nasal 6 mg/g fr 30 g (forma e concentração diferentes) a R$50,72 (~2,94×); 83661 é NaCl 0,9% 1000 ml IV a R$7,14 (~0,41×) mas via/volume distintos. Sem candidato clinicamente equivalente e com preço compatível por unidade.",40,"[103498, 92856, 88049, 87671, 86476, 102151, 88216, 86472, 111042, 84330, 92937, 101386, 86658, 87375, 86786, 83648, 87128, 114189, 86704, 86954, 87321, 83840, 86838, 116736, 114686, 87217, 86815, 87286, 84107, 102325, 87636, 111334, 86542, 86751, 83661, 86685, 86927, 92940, 87116, 87118]",openai:gpt-5,False,,reanalyze_price,14.51582125,3.51,20.042067,,,
"CLORETO DE SODIO (0,9% SPRAY NASAL JATO FORTE 100 ML)",CLORETO DE SODIO,1,['FQM'],no_match,,,0.9,"Global: cloreto de sódio 0,9% SPRAY NASAL (jato forte) fr 100 ml – custo 20,50/un. Nenhum candidato Unimed é o mesmo insumo/forma/via/volume: há esteroides nasais (ex.: mometasona fr 60 doses – 17,55/un; razão 0,86×) e outros fármacos/dispositivos/injetáveis (ex.: budesonida 6 ml – 33,66/un; lidocaína spray 50 ml – 44,62/un; soluções IV/fechado, etc.). Clinicamente diferentes, apesar de alguns preços próximos. Match anterior (cod 83660) era fr 100 ml sistema fechado (uso IV), não spray nasal, e preço 3,50/un (razão 0,17×), confirmando produto/unidade errados.",40,"[87305, 108026, 87275, 83919, 86754, 86717, 84732, 87208, 84989, 88141, 86450, 88093, 87413, 86444, 87700, 108024, 103580, 87485, 87894, 87170, 86975, 84731, 88003, 87535, 117386, 86850, 92937, 88049, 87322, 87321, 102325, 87217, 88103, 87636, 86815, 87286, 86542, 87309, 86927, 87311]",openai:gpt-5,False,,reanalyze_price,20.50045,20.50045,20.50045,,,
DISP INCONTINENCIA URINARIA MASC N.EST G,PRODUTOS PARA SAUDE,1,['MEDSONDA'],match,87951.0,dispositivo p/ incontinencia urinaria c/ preservativo tamanho g e extensor,0.92,"Clínico: Global é dispositivo de incontinência urinária masculino não estéril, tamanho G (tipo preservativo). Candidato 87951 descreve dispositivo p/ incontinência urinária com preservativo, tamanho G, com extensor — mesmo insumo e especificação de tamanho; esterilidade não indicada e tipicamente não estéril, compatível. Preço/un: Global R$1,06 vs Unimed R$1,86 → razão ≈1,76× (dentro de 0,3–3). Match anterior (Skyrizi) estava errado: medicamento biológico injetável, não dispositivo; preço R$51.047, razão >>4×.",40,"[87100, 86424, 87618, 87607, 87531, 83687, 88209, 87072, 86537, 87127, 87786, 88092, 86736, 110545, 86645, 87617, 86773, 83676, 87606, 86648, 86964, 86632, 84900, 83802, 87558, 87604, 87615, 87603, 87613, 110641, 87605, 87612, 87611, 92738, 102358, 87608, 87555, 87609, 87616, 87951]",openai:gpt-5,False,,reanalyze_price,1.062936,1.062936,1.062936,1.86,178.56,C
ELETRODO DESC ECG ADULTO PREMIUM,PRODUTOS PARA SAUDE,1,['MAXICOR'],match,87515.0,eletrodo descartavel adulto,0.86,"Clínico: Global é eletrodo descartável ECG adulto (MAXICOR, premium). Candidato 87515 é “eletrodo descartável adulto” — mesmo insumo e uso (ECG), adulto; excluí carbon/infantil/otros. Preço: Global R$0,17/un vs Unimed VL/un R$0,18 → razão ≈1,06 (entre 0,25× e 4×). Match anterior (110444) era pulseira identificação (kit 498), clínico distinto; VL/un≈R$0,89 → razão≈5,2 (>4×), incompatível.",40,"[87546, 86649, 86456, 84225, 83890, 87265, 86565, 86340, 87184, 87804, 87515, 111591, 83644, 87258, 87159, 87185, 101325, 87537, 84922, 86762, 87092, 83685, 86576, 86453, 86733, 107627, 107629, 107340, 107341, 84119, 92732, 84118, 87284, 84277, 88010, 110640, 92807, 87215, 84320, 84315]",openai:gpt-5,False,,reanalyze_price,0.167145,0.167145,0.167145,0.18,2008.3139999999999,A
ELETRODO DESC ECG ADULTO,PRODUTOS PARA SAUDE,2,"['DESCARPACK', 'MAXICOR']",match,87515.0,eletrodo descartavel adulto,0.9,"Clínico: Eletrodo descartável para ECG adulto ↔ “eletrodo descartavel adulto” (mesmo dispositivo/uso e público-alvo: adulto). Preço: Global R$0,17/un vs Unimed VL/un R$0,18 → razão 0,18/0,17=1,06 (dentro de ~0,25×–4×). Match anterior rejeitado (cod 110444): pulseira ≠ eletrodo; mesmo normalizando (R$443,22/498≈R$0,89), razão 0,89/0,17≈5,2 (>4×) → produto/unidade incorretos.",40,"[84225, 87546, 86649, 86456, 83890, 87265, 86565, 86340, 87184, 87804, 87515, 111591, 83644, 87258, 87159, 87185, 101325, 87537, 84922, 86762, 87092, 83685, 86576, 86453, 86733, 107627, 107341, 87061, 87273, 103251, 83885, 84923, 87271, 84277, 88010, 110640, 87215, 87802, 92807, 88159]",openai:gpt-5,False,,reanalyze_price,0.1659295,0.164106,0.167753,0.18,2008.3139999999999,A
ELETRODO DESC ECG ADULTO/INFANTIL,PRODUTOS PARA SAUDE,2,"['CIEX', 'MEDPEX']",match,87515.0,eletrodo descartavel adulto,0.82,"Clínico: Global pede eletrodo descartável p/ ECG (adulto/infantil). O candidato 87515 é “eletrodo descartável adulto”, mesmo insumo (eletrodo ECG) e especificação compatível com o padrão adulto; o item infantil (cod 88010) existe mas difere de tamanho e tem preço muito mais alto. Preço: Global R$0,17/un vs candidato R$0,18/un → razão 0,18/0,17≈1,06 (dentro da faixa ~0,25–4×). Rejeição anterior (cod 110444) era pulseira de identificação kit; VL/un≈443,22/498≈R$0,89 → razão ~5,24× e produto diferente, portanto incorreto.",40,"[87546, 86649, 86456, 87804, 87515, 111591, 83644, 87258, 87159, 87185, 84225, 87171, 86525, 86866, 86489, 86969, 83890, 87265, 86565, 86340, 87184, 87259, 87181, 86532, 115792, 107627, 107629, 87545, 87273, 87547, 87835, 88009, 108813, 87284, 87271, 88010, 102356, 110640, 87802, 87215]",openai:gpt-5,False,,reanalyze_price,0.1747425,0.167145,0.18234,0.18,2008.3139999999999,A
COMPRESSA GAZE 7.5X7.5 13F ESTERIL HERIKA,PRODUTOS PARA SAUDE,2,['AMED S/A'],no_match,,,0.9,"Global: compressa de gaze estéril 7,5×7,5 cm, 13 fios, unidade. Match anterior (cod 87500) estava errado: 11 fios ≠ 13 fios e preço normalizado ≈ R$0,43/10 = R$0,043/un; razão 0,043/0,46 ≈ 0,09× (<0,2×), provando unidade/produto diferente. Entre os candidatos atuais, nenhum tem a mesma especificação 7,5×7,5 13 fios: 102356/102358 são “gaze esteril pipoca” (formato tipo bolinha), não compressa 7,5×7,5; embora preços por un R$0,678–0,789 (razão 1,47–1,72×) estejam na faixa, falham clinicamente. 114727 é compressa 10×10 cm com fio radiopaco 13 fios (R$1,53/un; razão 3,33×) — tamanho e radiopaco diferentes. Demais itens são medicamentos ou dispositivos distintos. Sem candidato que passe simultaneamente critérios clínicos e de preço.",40,"[86406, 86643, 87142, 86921, 92898, 83668, 88009, 87656, 86730, 86970, 86847, 87038, 86763, 84923, 87730, 102397, 86926, 86983, 86883, 83659, 86783, 87050, 86408, 108813, 86848, 87299, 87982, 102356, 101608, 86721, 102358, 87786, 87529, 87528, 87699, 87727, 87503, 114727, 87705, 88027]",openai:gpt-5,False,,reanalyze_price,0.46,0.46,0.46,,,
COMPRESSA GAZE 7.5X7.5 9F ESTERIL HERIKA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.18,"Global: compressa de gaze 7,5×7,5 cm, 9 fios, estéril, venda por unidade (custo R$0,37/un). Nenhum candidato Unimed traz mesma especificação (tamanho 7,5×7,5 e 9 fios). Exemplos: cod 102356/102358: “gaze estéril pipoca c/10” (tipo pipoca, sem fios/tamanho 7,5×7,5) — VL/un R$0,678–0,789 (razão 1,83–2,13×), preço ok mas clinicamente diferente. cod 114727: compressa 10×10, 13 fios, radiopaca, pct c/10 — normalizado ≈R$0,153/un (1,53÷10; razão 0,41×), porém tamanho e nº de fios diferentes. cod 87786: compressa cirúrgica 25×28, VL/un R$1,044 (razão 2,82×), tipo/tamanho distintos. Demais itens são fármacos ou outros dispositivos. Match anterior rejeitado (cod 87500) estava incorreto: 7,5×7,5 porém 11 fios e pct c/10; normalizado ≈R$0,043/un (0,43÷10; razão ≈0,12×), preço/un incompatível e especificação diferente.",40,"[88140, 86924, 86898, 86563, 86937, 87835, 87068, 86775, 86980, 86925, 83884, 87538, 86660, 83902, 86413, 86935, 87982, 86524, 83881, 87222, 87067, 87238, 86345, 83677, 86616, 86805, 87299, 102356, 101608, 86721, 102358, 88092, 87786, 87529, 87528, 87699, 114727, 102362, 102365, 108025]",openai:gpt-5,False,,reanalyze_price,0.37,0.37,0.37,,,
COMPRESSA GAZE 7.5X7.5 13F ESTERIL LIVIA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.78,"Global: compressa de gaze 7,5×7,5 cm, 13 fios, estéril. Nenhum candidato Unimed tem mesmas especificações. Itens de gaze próximos: 102356/102358 = “gaze estéril pipoca” c/10 (formato diferente de compressa 7,5×7,5); 87786 = compressa cirúrgica 25×28 cm (tamanho diferente); 114727 = compressa 10×10 cm com fio radiopaco 13 fios (tamanho e radiopacidade diferentes). Preços normalizados desses itens (VL/un): 0,678; 0,789; 1,044; 1,53 — razões vs R$0,40/un = 1,7–3,8× (aceitáveis), porém a divergência clínica impede o match. Match anterior (87500) estava incorreto: 7,5×7,5 porém 11 fios e embalagem pct c/10; normalizando R$0,43/10 = R$0,043/un ⇒ razão ≈0,11× (fora da faixa) e especificação (11 vs 13 fios) diferente.",40,"[83902, 86413, 86935, 83881, 87222, 87067, 83884, 83677, 86616, 87123, 86849, 87835, 87068, 86775, 86848, 86493, 86920, 88140, 86924, 86898, 86563, 86937, 86883, 86980, 86925, 87982, 87299, 102356, 86721, 102358, 87786, 87456, 87529, 87530, 87528, 87699, 87727, 87503, 114727, 87777]",openai:gpt-5,False,,reanalyze_price,0.399918,0.399918,0.399918,,,
COMPRESSA GAZE 7.5X7.5 11F ESTERIL LIVIA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.86,"Global é compressa de gaze 7,5×7,5 cm, 11 fios, estéril (unidade). Nenhum candidato Unimed tem mesmas especificações: 114727 é 10×10 cm, 13 fios e fio radiopaco (VL/un 1,53 vs 0,37 → 4,14× >4, descarta); 87786 é compressa cirúrgica 25×28 cm (VL/un 1,044 vs 0,37 → 2,82×, mas clinicamente diferente); 102356/102358 são “gaze estéril pipoca” (forma diferente; VL/un 0,678 e 0,789 vs 0,37 → 1,83× e 2,13×, porém não equivalem à compressa plana 7,5×7,5 11F). Demais itens são insumos/medicamentos diferentes. Match anterior (cod 87500) estava errado: descrição indica pct c/10; normalizando 0,43/10=0,043 por un → 0,043/0,37=0,12× (<0,25), provando unidade/embalagem incompatível.",40,"[88140, 86924, 86898, 86563, 86937, 87835, 87068, 86775, 86980, 86925, 83884, 87538, 86660, 83902, 86413, 86935, 87982, 86524, 83881, 87222, 87067, 87238, 86345, 83677, 86616, 102356, 86721, 102358, 87786, 87456, 87529, 87530, 87528, 87699, 114727, 102362, 102365, 108060, 103895, 87727]",openai:gpt-5,False,,reanalyze_price,0.37,0.37,0.37,,,
COMPRESSA GAZE 7.5X7.5 11F ESTERIL HERIKA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.9,"Global: compressa de gaze 7,5×7,5 cm, 11 fios, estéril (unidade). Nenhum candidato Unimed tem mesmas especificações. Entre os de gaze: 114727 é 10×10 cm, 13 fios, com fio radiopaco (VL/un 1,53; razão 1,53/0,40=3,83) — specs diferentes. 102356 e 102358 são “gaze esteril pipoca” (forma diferente), VL/un 0,678–0,789; razões 1,70–1,97. 87786 é compressa 25×28 cm (VL/un 1,044; razão 2,61). Demais itens não são compressa de gaze. Match anterior (cod 87500) estava errado: descrição é pct c/10; normalizando, 0,43/10=0,043 por unidade; razão 0,043/0,40=0,11 (<0,25), provando unidade/preço incompatíveis.",40,"[83902, 86413, 86935, 83881, 87222, 87067, 83884, 83677, 86616, 87123, 86849, 87835, 87068, 86775, 86848, 86493, 86920, 88140, 86924, 86898, 86563, 86937, 86883, 86980, 86925, 87982, 102356, 101608, 86721, 102358, 87786, 87529, 87528, 87699, 87727, 87503, 114727, 102362, 102365, 103895]",openai:gpt-5,False,,reanalyze_price,0.4,0.4,0.4,,,
ETANERCEPTE (50MG SOLUCAO INJETAVEL CANETA PREENCHIDA 1ML),ETANERCEPTE,2,['SANDOZ'],no_match,,,0.88,"Alvo Global: etanercepte 50 mg/ml sol inj SC caneta 1 ml (ERELZI); custo Global R$2230,00/un. Nenhum candidato atende simultaneamente especificação clínica e preço compatível. Clinicamente próximos: cod 87334 (etanercepte 50 mg/ml caneta 1,0 ml Enbrel) VL/un=R$393,07 → razão 393,07/2230=0,18 (<0,25) — provável unidade/embalagem divergente; cod 105545 (etanercepte 50 mg/ml seringa 1,0 ml Brenzys) VL/un=R$508,90 → razão 0,23 (<0,25) — descartar por preço. cod 105037 (etanercepte 25 mg/ml pó liof + ser dil 1 ml Enbrel) — forma/força diferentes (não é caneta 50 mg/ml). Demais itens são outros biológicos (abatacepte, tocilizumabe etc.) — não equivalentes. Match anterior rejeitado (cod 92892, VL/un=R$396,80) também tem razão 396,80/2230=0,18 (<0,25), confirmando produto/unidade errada.",40,"[87262, 87086, 87087, 83647, 86803, 86400, 87254, 95507, 83751, 110761, 86874, 86436, 86448, 116669, 111927, 111928, 111001, 86459, 87085, 87892, 87130, 107410, 103581, 87168, 113430, 87107, 86399, 104710, 95607, 105037, 115805, 92945, 115565, 116877, 105507, 112392, 86682, 83666, 87334, 105545]",openai:gpt-5,False,,reanalyze_price,2230.0,2230.0,2230.0,,,
EQUIPO MULTIVIAS 2 VIAS 2T CLAMP.,PRODUTOS PARA SAUDE,1,['DESCARPACK'],no_match,,,0.8,"Global: equipo multivias 2 vias 2T clamp (produto para saúde de infusão; 2 vias com torneiras/clamps). Match anterior (polifix 2 vias ref 409102) R$3,53/un vs Global R$0,52/un → razão 6,79× (>4×) = produto/unidade/embalagem diferente, não repetir. Entre candidatos: 87621 ‘torneira 3 vias luer lock’ é 3 vias (não 2 vias) — clínico diferente, embora preço R$0,76/un (razão 1,46×) esteja aceitável. 87518 ‘equipo macrogotas c/ filtro de ar’ é equipo primário, não multivias/manifold — R$0,68/un (1,31×) mas clínica não bate. 87953 ‘equipo macro nutrição enteral’ é para via enteral, não IV — R$2,00/un (3,85×). Demais itens (sondas, seringas, medicamentos) não são equivalentes. Sem candidato que atenda especificação clínica + preço.",40,"[83888, 87554, 86772, 86981, 86788, 87223, 87553, 86853, 92918, 86467, 87052, 87299, 86468, 106547, 86998, 87614, 86979, 86566, 87284, 87742, 83659, 86783, 87050, 86408, 108813, 83668, 86590, 87518, 87045, 86437, 87621, 87238, 86769, 87066, 83687, 87583, 87024, 86943, 87953, 87143]",openai:gpt-5,False,,reanalyze_price,0.518675,0.518675,0.518675,,,
CATETER INTRAVENOSO 22G TEFLON,PRODUTOS PARA SAUDE,5,"['DESCARPACK', 'SEVEN CARE', 'SOLIDOR', 'TKL']",no_match,,,0.95,"Global: cateter intravenoso periférico 22G em teflon, sem segurança. Preço Global ~R$0,44/un (faixa R$0,41–0,67). Nenhum candidato Unimed é 22G sem dispositivo de segurança com preço compatível. Exemplos: 87891 (24G c/ segurança) R$3,26/un → 3,26/0,44=7,41× (>5×) e calibre/segurança diferentes; 110606 (20G sem segurança) R$2,32/un → 2,32/0,44=5,27× (>5×) e calibre diferente; 87624 é CVC 22G (tipo diferente) R$44,06/un → 100×. Vários outros são cateteres com segurança (18–24G) entre R$2,89–3,37/un (≈6–8×). MATCH ANTERIOR (cod 87890, 22G c/ segurança) também é incorreto: possui dispositivo de segurança e preço 3,16/0,44=7,18×, fora da faixa. Portanto, nenhum candidato atende especificação clínica e preço.",40,"[86883, 86847, 87038, 86763, 84923, 86848, 86493, 86920, 86406, 86643, 87142, 86921, 92898, 83677, 86616, 87123, 86849, 83668, 88009, 87656, 86730, 86970, 83881, 87222, 87067, 102397, 87907, 102358, 88148, 101721, 87698, 87891, 87889, 87888, 92795, 87886, 87887, 110606, 110605, 87624]",openai:gpt-5,False,,reanalyze_price,0.5073502000000001,0.405,0.668741,,,
SCALP 21G LUER LOCK,PRODUTOS PARA SAUDE,3,"['DESCARPACK', 'INJEX', 'MEDIX']",no_match,,,0.9,"Global: SCALP 21G Luer Lock (dispositivo, calibre 21G). Único candidato com mesmo tipo e calibre seria 87540 (scalp 21G), porém foi rejeitado por preço: VL/un R$1,70 vs custo Global R$0,19 → ratio ≈8,9× (>4×), indicando unidade/embalagem diferente ou produto distinto. O item 87539 (scalp 19G) tem calibre diferente (19G ≠ 21G). Demais candidatos são seringas, agulhas, máscaras, eletrodos ou medicamentos — não equivalentes clinicamente. Nenhum candidato atende simultaneamente especificação clínica e faixa de preço/unidade.",40,"[87171, 86525, 86866, 86489, 86969, 87259, 87181, 86532, 115792, 87295, 87804, 87515, 111591, 83644, 87258, 87159, 87185, 83911, 111596, 87899, 86535, 87211, 87546, 86649, 86456, 87539, 86938, 87545, 86922, 86918, 87547, 87835, 86920, 86921, 108813, 110611, 86919, 103138, 87621, 87676]",openai:gpt-5,False,,reanalyze_price,0.18803333333333336,0.1663,0.2078,,,
SCALP 21G LUER LOCK DISPOSITIVO SEG,PRODUTOS PARA SAUDE,3,"['DESCARPACK', 'INJEX', 'MEDIX']",no_match,,,0.9,"Global: SCALP winged set 21G, Luer lock, c/ dispositivo de segurança (dispositivo, calibre 21G). Match anterior (cod 87540 scalp 21G) foi rejeitado com razão: VL/un=R$1,70 vs Global R$0,32 → razão ~5,3× (>4–5×), indicando produto/unidade/embalagem divergente. Entre os candidatos atuais, o único ""scalp"" é cod 87539, porém 19G (calibre diferente), embora o preço R$0,25/un vs R$0,32 (razão ~0,78) esteja aceitável — clinicamente não equivale (regra 1). Demais itens (seringas Luer lock 10 ml, agulhas, medicamentos, clamp, etc.) são dispositivos/insumos distintos (regra 2). Sem candidato com SCALP 21G Luer lock com segurança e preço compatível.",40,"[87547, 83664, 83650, 87166, 87238, 86345, 83903, 84118, 87920, 86922, 86918, 88190, 87257, 86899, 86976, 87982, 86524, 92732, 87844, 84850, 87172, 86638, 87273, 108158, 87028, 88139, 88140, 87835, 88004, 87539, 107398, 87899, 83911, 108813, 110611, 87800, 87546, 88084, 87621, 87545]",openai:gpt-5,False,,reanalyze_price,0.3214166666666667,0.2806,0.36365,,,
CATETER INTRAVENOSO 24G TEFLON,PRODUTOS PARA SAUDE,7,"['DESCARPACK', 'INJEX', 'MEDIX', 'SEVEN CARE', 'TKL']",no_match,,,0.9,"Global requer cateter intravenoso 24G em Teflon, sem dispositivo de segurança. O match anterior (cod_item=87891) é com segurança 24G; além de especificação diferente, VL/un=3,26 → 3,26/0,62≈5,26× (fora da faixa), portanto estava errado. Entre os candidatos: 110606 é cateter IV 20G sem segurança (calibre diferente) e VL/un=2,32 → 2,32/0,62≈3,74× (preço até passa, mas clinicamente não); 92795 é 24G com segurança (neo) e VL/un=3,37 → 3,37/0,62≈5,44× (fora); 87890/87889/87888/87886/87887 são com segurança e/ou calibre ≠24G, VL/un≈2,89–3,24 → ≥4,7× (fora). Demais itens são medicamentos ou outros dispositivos não equivalentes. Sem candidato que atenda especificação clínica e preço normalizado.",40,"[86590, 87098, 86617, 86485, 87057, 87289, 87021, 87599, 87616, 84277, 87271, 87907, 87800, 87555, 83790, 88084, 87002, 111152, 86919, 88010, 86569, 84190, 87551, 83904, 100842, 102358, 102397, 86848, 88148, 101721, 87504, 110606, 87818, 87698, 92795, 87890, 87889, 87888, 87886, 87887]",openai:gpt-5,False,,reanalyze_price,0.6750515714285715,0.435,1.4628,,,
CATETER INTRAVENOSO PERIFERICO SIMPLES 24G,PRODUTOS PARA SAUDE,1,['TKL'],no_match,,,0.9,"Global é cateter intravenoso periférico simples 24G (sem dispositivo de segurança), R$0,77/un. Candidatos de cateter IV na lista: 110606 (20G, sem segurança) R$2,32/un (razão 3,01×); 110605 (18G, sem segurança) R$2,52/un (3,27×); 87887 (16G, COM segurança) R$2,89/un (3,75×); 92795 (24G, COM segurança, neo) R$3,37/un (4,38×); 87890 (22G, COM segurança) R$3,16/un (4,10×). Todos falham clinicamente (calibre ≠24G e/ou tem dispositivo de segurança) e alguns ainda extrapolam preço. Demais itens são medicamentos ou dispositivos de outra natureza. Match anterior (87891) estava errado por ter dispositivo de segurança e preço 3,26/0,77=4,23× (>4×).",40,"[87230, 86907, 86494, 86695, 87207, 87621, 102358, 83665, 86407, 87677, 86330, 87602, 83639, 87062, 87556, 87308, 86421, 87006, 87221, 84178, 86437, 86905, 87045, 86769, 86592, 86683, 88148, 87835, 87705, 87538, 110606, 87818, 111003, 110605, 107342, 87887, 104479, 87698, 92795, 87890]",openai:gpt-5,False,,reanalyze_price,0.77,0.77,0.77,,,
LUVA PLASTICA TAMANHO UNICO ESTERIL,PRODUTOS PARA SAUDE,2,"['DESCARPACK', 'MEDIX']",no_match,,,0.86,"Global: luva plástica (material simples, p.ex. PE), tamanho único, ESTÉRIL, custo 0,07 R$/un. Entre os candidatos Unimed, os únicos de luva são: (i) luvas nitrílicas s/ pó cx c/100 (cod 88161–88163) — não estéreis, material diferente (nitrílica ≠ plástica) e tamanhos P/M/G; preço 0,145–0,146 R$/un (~2,1× 0,07), mesmo com preço aceitável, clinicamente NÃO equivalente; (ii) luvas cirúrgicas estéreis por PAR (cod 87528–87530, 87529, 87699, 87727, 87767–87768, 108060) — tamanhos numéricos (não tamanho único) e unidade=par; VL/un 1,42–6,70 R$/par (≈20–96× 0,07 por un), unidade e preço incompatíveis; (iii) match anterior 87531 (luva de procedimento esteril tam M) tem VL 1,05 R$/un (~15× 0,07), tamanho não confere e preço prova produto diferente — por isso foi corretamente rejeitado. Demais itens (agulhas, compressas, sacos) não são luvas. Assim, nenhum candidato atende material/plasticidade + esterilidade + tamanho único com preço por unidade compatível.",40,"[87444, 87445, 87682, 86562, 86455, 83885, 86635, 86707, 86577, 86578, 86454, 87139, 87680, 83895, 103138, 86483, 86482, 86636, 86706, 87900, 103251, 87446, 86671, 86488, 86816, 83909, 87500, 88163, 88161, 88162, 111596, 87753, 87529, 87528, 87530, 87699, 87727, 87768, 108060, 87767]",openai:gpt-5,False,,reanalyze_price,0.0714055,0.068368,0.074443,,,
SABONETE RIOMAX CREMOSO GLICERINA 1 LITRO,COSMETICOS,1,['RIOQUIMICA'],match,83880.0,sabonete liquido perolado set soap 5 litros,0.66,"Match anterior (cod 83878) rejeitado: 1 L a R$99 → ratio 99/13,62 = 7,27× (>4×), indicando produto/unidade errada. Candidato escolhido: cod 83880 “sabonete líquido perolado Set Soap 5 L (galão)”. Clínica: mesmo insumo/uso (sabonete líquido para higiene das mãos), forma líquida, via tópica; diferença é apenas embalagem (5 L vs 1 L), normalizável. Preço: R$37,05 por 5 L → R$7,41/L; Global R$13,62/L; ratio = 7,41/13,62 = 0,54× (dentro de 0,25×–4×). Demais candidatos são fármacos/dispositivos, não equivalentes.",40,"[104033, 108146, 87697, 88060, 87286, 83756, 87756, 87717, 86916, 104891, 101223, 88195, 86774, 88002, 87581, 85019, 86764, 92943, 101235, 104875, 87448, 115258, 87534, 86815, 84156, 87217, 87025, 86586, 86954, 87309, 107224, 100255, 83643, 87985, 84963, 86588, 86582, 83880, 87040, 108049]",openai:gpt-5,False,,reanalyze_price,13.615278,13.615278,13.615278,37.05,941.0699999999998,C
DETERGENTE NEUTRO 5L,SANEANTES,1,['RIOQUIMICA'],no_match,,,0.94,"Produto Global é saneante detergente neutro 5L. Nenhum candidato Unimed descreve detergente neutro 5L. O mais próximo (cod_item=83878) é sabonete líquido neutro 1L (produto distinto). Comparando preços normalizados: Global ≈ R$ 69,22/5L = R$ 13,84 por litro; cod_item=83878 = R$ 99,00 por litro → razão ≈ 7,15 (>4×), incompatível. Os demais itens são materiais/medicações/curativos sem equivalência clínica com saneante. Match anterior (cod_item=112443) era detergente neutro concentrado 3,78L a R$ 292,10 → ≈ R$ 77,3/L; razão vs Global ≈ 5,6× e volume diferente (3,78L vs 5L), confirmando produto/unidade divergente. Sem candidato que passe clínica + preço.",40,"[88086, 92805, 83795, 113040, 87998, 110625, 87741, 115315, 87220, 100391, 84168, 110202, 117804, 100812, 108812, 111303, 88108, 87474, 88067, 83682, 87354, 87956, 87961, 86818, 88106, 84999, 102952, 92996, 115572, 83878, 86659, 87624, 87698, 84760, 85009, 86511, 89514, 108025, 86702, 108238]",openai:gpt-5,False,,reanalyze_price,69.2225,69.2225,69.2225,,,
SCALP 23G LUER LOCK,PRODUTOS PARA SAUDE,4,"['DESCARPACK', 'INJEX', 'MEDIX', 'VENPER']",no_match,,,0.92,"Global: dispositivo de punção venosa Scalp 23G com conector Luer lock (UN). Nenhum candidato lista “scalp 23G luer lock”. O único scalp (cod 87539) é 19G — calibre diferente, reprova clinicamente, embora o preço 0,25/un (ratio 1,25× vs Global 0,20/un) seja compatível. Outros itens (seringas luer lock 0,17–0,56/un → 0,85–2,8×; agulha 25x8 0,21/un → 1,05×; medicamentos/EPI) não são o mesmo dispositivo. Match anterior 87541 (scalp 23G) foi corretamente rejeitado: VL/un 1,58 → 7,9× o custo Global, incompatível com a unidade/embalagem.",40,"[87259, 87181, 86532, 115792, 87295, 87171, 86525, 86866, 86489, 86969, 83911, 111596, 87899, 86535, 87211, 87804, 87515, 111591, 83644, 87258, 87159, 87185, 83883, 107628, 107340, 87546, 87539, 86938, 86922, 87547, 87545, 86749, 87835, 86935, 86920, 108813, 110611, 86919, 103138, 86905]",openai:gpt-5,False,,reanalyze_price,0.2098555,0.1663,0.275654,,,
