linha_produto,cod_item,desc_global,score,method
" DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",83665,"dexametasona, fosfato dissodico 4 mg/ml sol inj im/iv amp 2,5 ml",0.86,fuzz_token_set
ABAIXADOR LINGUA NAO ESTERIL,87444,abaixador de lingua em madeira (pct c/100),0.73,fuzz_token_set
ACEBROFILINA (10MG/ML XAROPE 120ML ADULTO),83643,acetilcisteína 40 mg/ml xpe fr 120 ml adulto,0.69,fuzz_token_set
ACEBROFILINA (5MG/ML XAROPE 120ML PEDIATRICO),84316,filtro hmef pediatrico,0.62,fuzz_token_set
ACETATO DE ABIRATERONA (250MG COMPRIMIDO),86401,"abiraterona, acetato 250 mg com zytiga",0.87,fuzz_token_set
ACETATO DE ABIRATERONA (500MG CPR REV ) ,92866,"abiraterona, acetato 250 mg com genérico ",0.72,fuzz_token_set
ACETATO DE CIPROTERONA (50 MG COM CT BL AL PLAS TRANS X 20),86401,"abiraterona, acetato 250 mg com zytiga",0.68,fuzz_token_set
"ACETATO DE DESMOPRESSINA (0,1MG/ML SOL NAS FR SPRAY 2,5ML)",86687,desmopressina 4 mcg/ml sol inj amp 1 ml,0.71,fuzz_token_set
"ACETATO DE LEUPRORRELINA (7,50MG PO LIOF SUS INJ FA + AMP DIL 1,5ML + SER 2 AGU)",86583,cefepima 1 g po liof inj fa,0.74,fuzz_token_set
ACETATO DE MEGESTROL (160MG COMPRIMIDO SIMPLES ADULTO) ,92866,"abiraterona, acetato 250 mg com genérico ",0.57,fuzz_token_set
ACETATO DE METILPREDNISOLONA (40MG/ML SOL INJ IM/INTRASSINOVIAL/INTRALESIONAL/INTRARETAL FA 2ML),86973,"metilprednisolona, succinato sodio 125 mg po liof inj fa",0.61,fuzz_token_set
"ACETATO DE OCTREOTIDA (0,05MG/ML SOL INJ IV AMP 1ML) ",86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.7,fuzz_token_set
"ACETATO DE OCTREOTIDA (0,1MG/ML SOL INJ IV AMP 1 ML)",86335,cetorolaco de trometamina 30 mg/ml sol inj amp 1 ml,0.74,fuzz_token_set
ACETATO DE OCTREOTIDA (20MG PO SUS INJ IM + 1 SER DIL 2ML),87087,palmitato de paliperidona 150 mg sus inj lib prol ser,0.58,fuzz_token_set
ACETATO DE OCTREOTIDA (30MG PO SUS INJ IM + 1 SER DIL 2ML),87087,palmitato de paliperidona 150 mg sus inj lib prol ser,0.62,fuzz_token_set
ACETATO DE TERLIPRESSINA (1MG PO LIOF SOL INJ IV FA),86583,cefepima 1 g po liof inj fa,0.68,fuzz_token_set
ACETILCISTEINA (100MG/ML SOL INJ USO INTRAVENOSO/INALATÂ¿RIO AMPOLA 3ML),83640,acetilcisteina 100 mg/ml sol inj amp 3 ml,0.87,fuzz_token_set
ACETILCISTEINA (200MG GRANULADO ENVELOPE 5G SABOR LARANJA),83642,acetilcisteina 200 mg gran env,0.65,fuzz_token_set
ACETILCISTEINA (200MG GRANULADO ENVELOPE 5G SABOR LARANJA) VP,86407,acetilcisteína 600 mg gran env,0.64,fuzz_token_set
ACETILCISTEINA (20MG/ML XAROPE FRASCO 120ML),83641,acetilcisteína 20 mg/ml xpe fr 120 ml ped,0.81,fuzz_token_set
ACETILCISTEINA (40MG/ML XAROPE 120 ML) VP,83641,acetilcisteína 20 mg/ml xpe fr 120 ml ped,0.87,fuzz_token_set
ACETILCISTEINA (40MG/ML XPE 120 ML),83643,acetilcisteína 40 mg/ml xpe fr 120 ml adulto,0.91,fuzz_token_set
ACETILCISTEINA (600MG GRANULADO ENVELOPE 5G SABOR LARANJA),86407,acetilcisteína 600 mg gran env,0.65,fuzz_token_set
ACICLOVIR (200MG COMPRIMIDO USO ORAL) ,86408,aciclovir 200 mg com,0.79,fuzz_token_set
ACICLOVIR 50MG/G (5%) BG CREM 10G,86411, aciclovir 50 mg/g cr derm bg 10 g,0.82,fuzz_token_set
ACICLOVIR 50MG/G (5%) BG CREME 10G,86411, aciclovir 50 mg/g cr derm bg 10 g,0.81,fuzz_token_set
ACICLOVIR SODICO (250MG PO LIOF SOL INJ IV FA),86409,aciclovir 250 mg inj fa,0.82,fuzz_token_set
ACIDO ACETILSALICILICO (100MG CP) ,86412, acido acetilsalicilico 100 mg com ,0.88,fuzz_token_set
ACIDO ASCORBICO (100MG/ML SOL INJ AP 5ML) ,86421,acido ascorbico 100 mg/ml sol inj 5 ml amp,0.9,fuzz_token_set
ACIDO ASCORBICO (100MG/ML SOL INJ IV AP 5ML),86421,acido ascorbico 100 mg/ml sol inj 5 ml amp,0.89,fuzz_token_set
ACIDO EPSILON AMINOCAPROICO (20PCC SOL INJ FA 20ML) ,86417,acido aminocaproico 200 mg/ml sol inj fa 20 ml (4g),0.8,fuzz_token_set
ACIDO FOLICO (5MG CP REVESTIDO),86426,acido folico 5 mg com,0.73,fuzz_token_set
"ACIDO FOLICO + GLICINATO FERRICO (250+0,2MG/ML SUS OR )",86426,acido folico 5 mg com,0.73,fuzz_token_set
"ACIDO PERACETICO 0,2% PRONTO USO 5L",83750,lapis p/ retroprojetor azul 2.0mm,0.58,fuzz_token_set
ACIDO TRANEXAMICO (250MG CP),86428,acido tranexamico 250 mg com,0.85,fuzz_token_set
ACIDO TRANEXAMICO (50MG/ML SOL INJ IV 5ML),86429,acido tranexamico 50 mg/ml sol inj amp 5 ml,0.85,fuzz_token_set
ACIDO VALPROICO (250MG PC REV),108004,keppra 250mg com rev,0.67,fuzz_token_set
ACIDO ZOLEDRONICO (5MG SOLUCAO INJETAVEL IV 100ML),87335,ácido zoledrônico monoidratado 5 mg/100 ml sol inj fa 100 ml densis,0.79,fuzz_token_set
ACIDO ZOLEDRONICO MONOIDRATADO (4MG PO LIOFILO PARA SOLUCAO INJETAVELJ IV 5ML),87335,ácido zoledrônico monoidratado 5 mg/100 ml sol inj fa 100 ml densis,0.72,fuzz_token_set
ACIDO ZOLEDRONICO MONOIDRATADO (4MG SOL INJ IV 100ML),87335,ácido zoledrônico monoidratado 5 mg/100 ml sol inj fa 100 ml densis,0.85,fuzz_token_set
ACIDO ZOLEDRONICO MONOIDRATADO (5MG SOL INJ IV BS 100ML) ,87335,ácido zoledrônico monoidratado 5 mg/100 ml sol inj fa 100 ml densis,0.83,fuzz_token_set
"ADALIMUMABE (40 MG/0,8ML SOL INJ SC X 0,8 ML)",105101,"adalimumabe 40 mg/ 0,8 ml sol inj can preen hyrimoz",0.88,fuzz_token_set
"ADALIMUMABE (40MG/0,8ML INJETAVEL SC 2SER + 2 LEN ALC)",106586,"adalimumabe 40 mg hyrimoz - ser preenc 0,8ml",0.63,fuzz_token_set
"ADAPALENO (0,3% GEL 30G)",86928,lidocaina 2% gel bg 30g,0.6,fuzz_token_set
ADAPTADOR P/ AGULHA COLETA A VACUO,92840,adaptador de sonda enteral equipo,0.55,fuzz_token_set
ADENOSINA (3MG/ML SOL INJ IV 2ML),86435,adenosina 3 mg/ml sol inj amp 2 ml,0.84,fuzz_token_set
AGOMELATINA (25MG COMPRIMIDO REVESTIDO),102396,nexium 20mg comprimido revestido,0.73,fuzz_token_set
"AGUA PARA INJECAO  (IV 100ML)
",83644,agua para injetaveis sol inj amp 10 ml,0.62,fuzz_token_set
AGUA PARA INJECAO  (IV 10ML),83644,agua para injetaveis sol inj amp 10 ml,0.63,fuzz_token_set
"AGUA PARA INJECAO (IV 1000ML)
",84280,eter 1000ml,0.71,fuzz_token_set
AGUA PARA INJECAO (IV 250ML),86437,agua para injetaveis sol inj amp 20 ml,0.62,fuzz_token_set
AGUA PARA INJECAO (IV 500 ML),83644,agua para injetaveis sol inj amp 10 ml,0.65,fuzz_token_set
AGUA PARA INJEÂ¿Â¿O  (IV 20ML),86437,agua para injetaveis sol inj amp 20 ml,0.63,fuzz_token_set
AGULHA ASPIRA 25X12 TRIFACETADO,87900,agulha descartavel aspiração 25x12 s/ dispositivo de segurança,0.56,fuzz_token_set
"AGULHA DESC 13X3,0",87766,"agulha stimuplex a 22gx 2''/0,70x50mm ",0.62,fuzz_token_set
"AGULHA DESC 13X4,5",88004,agulha descartavel 13x4 c/ dispositivo de segurança,0.76,fuzz_token_set
"AGULHA DESC 13X4,5 C/DISP SEG",88004,agulha descartavel 13x4 c/ dispositivo de segurança,0.71,fuzz_token_set
"AGULHA DESC 20X5,5 C/DISP SEG",87682,"agulha descartavel 20x5,5 s/ dispositivo de segurança",0.69,fuzz_token_set
AGULHA DESC 25X06 C/DISP SEG,107398,agulha descartavel 25x6 c/ dispositivo de segurança,0.69,fuzz_token_set
AGULHA DESC 25X07,87445,agulha descartavel 25 x 7,0.71,fuzz_token_set
AGULHA DESC 25X07 C/DISP SEG,107398,agulha descartavel 25x6 c/ dispositivo de segurança,0.67,fuzz_token_set
AGULHA DESC 25X08,87445,agulha descartavel 25 x 7,0.67,fuzz_token_set
AGULHA DESC 25X08 C/DISP SEG,87899,agulha descartavel 25x8 c/ dispositivo de segurança ,0.69,fuzz_token_set
AGULHA DESC 30X07,87445,agulha descartavel 25 x 7,0.62,fuzz_token_set
AGULHA DESC 30X07 C/DISP SEG,88004,agulha descartavel 13x4 c/ dispositivo de segurança,0.64,fuzz_token_set
AGULHA DESC 30X08,87445,agulha descartavel 25 x 7,0.57,fuzz_token_set
AGULHA DESC 30X08 C/DISP SEG,88004,agulha descartavel 13x4 c/ dispositivo de segurança,0.64,fuzz_token_set
AGULHA DESC 40X12,87446,agulha descartavel 40x12 s/ dispositivo de segurança,0.83,fuzz_token_set
AGULHA DESC 40X12 C/DISP SEG,87446,agulha descartavel 40x12 s/ dispositivo de segurança,0.68,fuzz_token_set
AGULHA P/RAQUI TIPO QUINCKE 25GX3 1/2,87448,agulha descart p/ raquianestesia 25g x 3 1/2 (0.53 x 88 mm) estéril,0.57,fuzz_token_set
AGULHA P/RAQUI TIPO QUINCKE 26GX3 1/2,87766,"agulha stimuplex a 22gx 2''/0,70x50mm ",0.56,fuzz_token_set
AGULHA P/RAQUI TIPO QUINCKE 27GX3 1/2,87449,agulha descart p/ raquianestesia 27g x 3 1/2 (0.42 x 88 mm) estéril,0.57,fuzz_token_set
ALBENDAZOL (400MG CP MASTIGAVEL),86439,albendazol 400 mg com mast,0.79,fuzz_token_set
ALBENDAZOL 40MG/ML SUS OR 10ML ,86438,albendazol 40 mg/ml sus or fr 10 ml,0.9,fuzz_token_set
ALBUMINA HUMANA (20% SOL INJ FA 50ML) 200G/L ,86440,albumina humana 20%  (200 mg/ml) sol inj fa 50 ml,0.94,fuzz_token_set
ALCA DESC ESTERIL 10UL 19CM AZUL,104761,"malha tubular esteril 15cm x 1,50m",0.64,fuzz_token_set
ALCA DESC ESTERIL 1UL 19CM AMARELO,102364,faixa de smarch esteril 15cmx2m,0.62,fuzz_token_set
ALENDRONATO DE SODIO TRI-HIDRATADO+CARBONATO DE CALCIO+COLECALCIFEROL (70MG+500MG+200UI COMPRIMIDO),86568,"calcio, carbonato de 500 mg com rev",0.81,fuzz_token_set
ALFAEPOETINA (10000UI/ML INJ IV/SC FA 1ML),86444,alfaepoetina 4.000 ui po liof inj fa ,0.74,fuzz_token_set
ALFAEPOETINA (2000UI/ML INJ SC FA 1ML),86444,alfaepoetina 4.000 ui po liof inj fa ,0.72,fuzz_token_set
ALFAEPOETINA (4000UI/ML INJ IV/SC FA 1ML),86444,alfaepoetina 4.000 ui po liof inj fa ,0.72,fuzz_token_set
ALFAEPOETINA (4000UI/ML INJ IV/SC SERINGA PRE-ENCHIDA 1ML),86445,alfaepoetina 40.000 ui sol inj ser 1 ml,0.66,fuzz_token_set
ALGODAO HIDROFILO BOLA 100 GR,87452,algodao hidrofilo 500g ,0.87,fuzz_token_set
ALGODAO HIDROFILO ROLO 500 GR,87452,algodao hidrofilo 500g ,0.87,fuzz_token_set
"ALOPURINOL (100MG COMPRIMIDO)
",87139,propranolol 10 mg com,0.73,fuzz_token_set
ALOPURINOL (300MG COMPRIMIDO),87239,tiamina 300 mg com,0.68,fuzz_token_set
ALPELISIBE (200MG COMPRIMIDO REVESTIDO) ,102396,nexium 20mg comprimido revestido,0.76,fuzz_token_set
"ALPINIA ZERUMBET (0,08 ML/ML 15ML)",86960,mesalazina 400 mg com rev ,0.56,fuzz_token_set
"ALPINIA ZERUMBET (0,08 ML/ML FRASCO SPRAY 60ML SOLUCAO DE USO DERMATOLOGICO)",84742,frasco de aspiracao 5l,0.58,fuzz_token_set
"ALPINIA ZERUMBET (0,08 ML/ML SOLUÂ¿Â¿O OLEOSA 15ML)",87234,"terbutalina 0,5 mg/ml sol inj amp 1 ml",0.56,fuzz_token_set
"ALPRAZOLAM (0,25MG COMPRIMIDO) (B1)",86453,"alprazolam 0,25 mg com",0.91,fuzz_token_set
"ALPRAZOLAM (0,5MG COMPRIMIDO) (B1)",86454,"alprazolam 0,5 mg com",0.91,fuzz_token_set
ALPRAZOLAM (1MG COMPRIMIDO) (B1),86455,alprazolam 1 mg com,0.9,fuzz_token_set
AMINOFILINA (24MG/ML SOL INJ IV 10ML),86466,aminofilina 24 mg/ml sol inj amp 10 ml ,0.86,fuzz_token_set
"AMINOÂ¿CIDOS   (0,5G/ML INJ IV 10ML)",83688,ocitocina 5 ui/ml sol inj amp 1 ml,0.65,fuzz_token_set
"AMINOÂ¿CIDOS  (0,6G/G GRANULADO ENVELOPE)",84847,045/06 envelope timbrado 37 x 45,0.55,fuzz_token_set
AMIODARONA (50MG/ML SOL INJ IV 3ML),86469,amiodarona 50 mg/ml sol inj amp 3 ml,0.85,fuzz_token_set
AMOXICILINA (50MG/ML PO SUS OR 150ML),86472,amoxicilina 50 mg/ml sus or fr 150 ml,0.87,fuzz_token_set
AMOXICILINA SODICA+CLAVULANATO DE POTASSIO (1000 + 200MG PO PARA SOLUCAO INJETAVEL IV FA),86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,0.85,fuzz_token_set
"AMOXICILINA SODICA+CLAVULANATO DE POTASSIO (1000,0 + 200,0MG  PO SOL INJ IV FA)
",86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,0.89,fuzz_token_set
"AMOXICILINA TRI-HIDRATADA+CLAVULANATO DE POTASSIO (250MG+62,5MG/5ML SUS OR 100ML)",86476,amoxicilina tri-hidratada + clavulanato de potássio 400 mg + 57 mg/5 ml sus or fr 70 ml ,0.87,fuzz_token_set
"AMOXICILINA TRI-HIDRATADA+CLAVULANATO DE POTASSIO (50+12,5MG PO LIOFILO PARA SOLUCAO INJETAVEL)",86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,0.82,fuzz_token_set
AMOXICILINA TRI-HIDRATADA+CLAVULANATO DE POTASSIO (500+125MG COMPRIMIDO) ,86476,amoxicilina tri-hidratada + clavulanato de potássio 400 mg + 57 mg/5 ml sus or fr 70 ml ,0.88,fuzz_token_set
AMOXICILINA+SULBACTAM (1000+500MG PO INJ IV/IM 5ML),86477,ampicilina + sulbactam 2 g + 1 g po liof inj fa,0.71,fuzz_token_set
AMPICILINA (500MG CAP DURA),86853,pregabalina 150 mg cap dura,0.73,fuzz_token_set
AMPICILINA SODICA (1G PO INJ IV/IM + DILUENTE 5ML),83646,ampicilina sodica 1 g po liof inj fa,0.8,fuzz_token_set
AMPICILINA SODICA (1G PO INJ IV/IM FA),83646,ampicilina sodica 1 g po liof inj fa,0.89,fuzz_token_set
AMPICILINA SODICA (500MG PO INJ IV/IM),83646,ampicilina sodica 1 g po liof inj fa,0.8,fuzz_token_set
"AMPICILINA SODICA+SULBACTAM SODICO (1,5G SOLUCAO INJETAVEL IV/IM 30ML)",86477,ampicilina + sulbactam 2 g + 1 g po liof inj fa,0.78,fuzz_token_set
"AMPICILINA SODICO+SULBACTAM SODICO (3G SOLUCAO INJETAVEL IV/IM 6,4ML) ",86477,ampicilina + sulbactam 2 g + 1 g po liof inj fa,0.74,fuzz_token_set
ANASTROZOL (1MG COMPRIMIDO),86479,anastrozol 1 mg com rev,0.88,fuzz_token_set
ANFOTERICINA B (50MG PO LIOF INJ IV C/DILUENTE) ,86480,anfotericina b desoxicolato 50 mg po liof inj fa,0.75,fuzz_token_set
ANTIASTENICO VITAMINA,86943,magnesio + vitamina b3 cap ,0.62,fuzz_token_set
ANTISSEPTICO DEGERMANTE IODOPOVIDONA PVPI 1 LITRO,84230,curativo redondo antiseptico rl c/ 500 und,0.56,fuzz_token_set
ANTISSEPTICO TINTURA IODOPOVIDONA PVPI 1LITRO,84230,curativo redondo antiseptico rl c/ 500 und,0.51,fuzz_token_set
ANTISSÂ¿PTICO TINTURA IODOPOVIDONA PVPI 100ML ,84230,curativo redondo antiseptico rl c/ 500 und,0.54,fuzz_token_set
"APIXABANA (5MG COMPRIMIDO REV)
",111917,apixabana 5 mg com rev,0.98,fuzz_token_set
"APIXABANA SOLIDO ( 2,5MG COMPRIMIDO)",86485,"apixabana 2,5 mg com rev",0.8,fuzz_token_set
ARIPIPRAZOL (10MG COMPRIMIDO),86486,aripiprazol 10 mg com,0.98,fuzz_token_set
ARIPIPRAZOL MONOIDRATADO (15MG COMPRIMIDO) ,115489,aripiprazol 15mg com aristab,0.83,fuzz_token_set
