linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
SUCCINATO DE RIBOCICLIBE (200MG COMPRIMIDO REV),SUCCINATO DE RIBOCICLIBE,['NOVARTIS'],2,2,260.70836,260.7084655,260.7084655,260.70836,260.708571,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,1021.4,273949.69399999996,A,EXCEPCIONAL CD,-2.8,-2.8,-2.8,-7.5016,-7662.18,fuzzy_alta,0.91,268.21,-7662.07,7662.07,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),SUCCINATO DE RIBOCICLIBE,['NOVARTIS'],3,3,260.707143,256.30396033333335,254.1025,254.102238,260.707143,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,1021.4,273949.69399999996,A,EXCEPCIONAL CD,-2.8,-4.4,-5.3,-7.5029,-7663.42,llm,1.0,268.21,-14409.4,14409.4,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SECUQUINUMABE INJETAVEL (150MG SOL INJ SC CANETA 1ML) ,SECUQUINUMABE,['NOVARTIS'],1,1,3968.566667,3968.566667,3968.566667,3968.566667,3968.566667,2026-02-26,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,42.6,190485.9,A,EXCEPCIONAL CD,-11.2,-11.2,-11.2,-502.9333,-21424.96,llm,1.0,4471.5,-21424.96,21424.96,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SECUQUINUMABE INJETAVEL (75MG SOL INJ SC SER 0,5 ML)",SECUQUINUMABE,['NOVARTIS'],1,1,1987.28,1987.28,1987.28,1987.28,1987.28,2024-09-18,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,42.6,190485.9,A,EXCEPCIONAL CD,-55.6,-55.6,-55.6,-2484.22,-105827.77,llm,0.8,4471.5,-105827.77,105827.77,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"OMALIZUMABE (75MG SOL INJ SC SER 0,5ML)
",OMALIZUMABE,['NOVARTIS'],1,1,1253.375,1253.375,1253.375,1253.375,1253.375,2025-03-27,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,54.5,153842.6,A,EXCEPCIONAL CD,-55.6,-55.6,-55.6,-1569.425,-85533.66,llm,0.9,2822.8,-85533.66,85533.66,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),OMALIZUMABE,['NOVARTIS'],2,2,2571.928,2485.36175,2485.36175,2398.7955,2571.928,2026-01-21,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,54.5,153842.6,A,EXCEPCIONAL CD,-8.9,-12.0,-12.0,-250.872,-13672.52,llm,1.0,2822.8,-18390.38,18390.38,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"OFATUMUMABE INJETAVEL ( 20MG/0,4 ML SOL INJ SC 0,4ML )",OFATUMUMABE,['NOVARTIS'],1,1,10640.04,10640.04,10640.04,10640.04,10640.04,2026-02-26,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta","ofatumumabe 20 mg/0,4 ml can preen kesimpta",Caneta,12012.0,11.8,141741.6,A,EXCEPCIONAL,-11.4,-11.4,-11.4,-1371.96,-16189.13,llm,1.0,12012.0,-16189.13,16189.13,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELTROMBOPAGUE OLAMINA  ( 50MG CP) ,ELTROMBOPAGUE OLAMINA,['NOVARTIS'],1,1,287.507321,287.507321,287.507321,287.507321,287.507321,2025-07-15,86747,eltrombopague olamina 50 mg com rev revolade,eltrombopague olamina 50 mg com rev revolade,Comprimido,306.47,238.0,72939.86,A,EXCEPCIONAL,-6.2,-6.2,-6.2,-18.9627,-4513.12,llm,1.0,306.47,-4513.12,4513.12,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESILATO DE NINTEDANIBE (150MG CAP MOLE),ESILATO DE NINTEDANIBE,['SUN PHARMA'],1,1,225.0,225.0,225.0,225.0,225.0,2025-06-27,86771,esilato de nintedanibe 150 mg cap mole ofev,esilato de nintedanibe 150 mg cap mole ofev,Cápsula,197.25,348.0,68643.0,A,EXCEPCIONAL,14.1,14.1,14.1,27.75,9657.0,fuzzy_alta,0.92,197.25,9657.0,0.0,9657.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",CLORETO DE SODIO,"['FQM', 'HYPERA']",4,4,18.0769,14.515821249999998,17.255609,3.51,20.042067,2025-06-12,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,19142.2,66997.7,A,"VOLUMOSOS - FRESEN, DICOPL, TAG",416.5,314.7,393.0,14.5769,279033.94,fuzzy_alta,0.82,3.5,263312.62,0.0,263312.62,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
