linha_clinica_global,global_cod_produto,global_desc_produto,global_marca,principio_ativo,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_un,preco_unimed_vl_medio_r_un,unimed_abc,unimed_prev_mes_rs,gap_pct_ultimo_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,depara_origem,depara_confianca,fonte_preco_global,fonte_preco_unimed
SUCCINATO DE RIBOCICLIBE (200MG COMPRIMIDO REV),5090,KISQALI 200MG CP REV CX 63 NAC,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.70836,260.70836,260.70836,260.70836,260.70836,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5016,fuzzy_alta,0.91,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE (200MG COMPRIMIDO REV),5091,KISQALI 200MG CP REV CX 42 CP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.708571,260.708571,260.708571,260.708571,260.708571,2025-05-29,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5014,fuzzy_alta,0.91,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),516,KISQALI 200 MG CP REV CX 63 IMP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,254.102238,254.102238,254.102238,254.102238,254.102238,2024-12-11,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-5.3,-14.1078,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),2449,KISQALI 200 MG CP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.707143,260.707143,260.707143,260.707143,260.707143,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5029,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),2450,KISQALI 200 MG CP IMP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,254.1025,254.1025,254.1025,254.1025,254.1025,2024-12-11,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-5.3,-14.1075,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SECUQUINUMABE INJETAVEL (150MG SOL INJ SC CANETA 1ML) ,4118,COSENTYX 150MG SOL INJ SC CAN 1 ML,NOVARTIS,SECUQUINUMABE,1,3968.566667,3968.566667,3968.566667,3968.566667,3968.566667,2026-02-26,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,A,190485.9,-11.2,-502.9333,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SECUQUINUMABE INJETAVEL (75MG SOL INJ SC SER 0,5 ML)",4117,"COSENTYX 75MG SOL INJ SC SER 0,5 ML",NOVARTIS,SECUQUINUMABE,1,1987.28,1987.28,1987.28,1987.28,1987.28,2024-09-18,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,A,190485.9,-55.6,-2484.22,llm,0.8,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"OMALIZUMABE (75MG SOL INJ SC SER 0,5ML)
",4887,"XOLAIR 75MG SOL INJ SC SER 0,5ML",NOVARTIS,OMALIZUMABE,1,1253.375,1253.375,1253.375,1253.375,1253.375,2025-03-27,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-55.6,-1569.425,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),4119,XOLAIR 150MG SOL INJ SC SER 1 ML,NOVARTIS,OMALIZUMABE,1,2571.928,2571.928,2571.928,2571.928,2571.928,2026-01-21,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-8.9,-250.872,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),4252,XOLAIR 150 MG PO LIOF INJ SC + DIL 2 ML,NOVARTIS,OMALIZUMABE,1,2398.7955,2398.7955,2398.7955,2398.7955,2398.7955,2023-07-05,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-15.0,-424.0045,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
