NUM_NOTA,DT_EMISSAO_NOTA,DT_ENTRADA,COD_PRODUTO,DESCRICAO_PRODUTO,MARCA,PRINCIPIO_ATIVO,LINHA_PRODUTO,CUSTO_ENTRADA,QT_ENTRADA,QT_ESTOQUE_ANTERIOR,CUSTO_MED_ANTERIOR,COD_FORNECEDOR,RAZAO_SOCIAL
983704,2025-04-30,2025-05-13,273,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML VP",TEUTO,FOSFATO DISSODICO DE DEXAMETASONA," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",0.75,2160,8,0.9,721,LABORATORIO TEUTO BRASILEIRO S/A
2216043,2023-01-23,2023-01-27,3304,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML ",EUROFARMA,FOSFATO DISSODICO DE DEXAMETASONA," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",2.2,5000,0,0.0,1162,EUROFARMA LABORATORIOS S.A.
353265,2025-12-17,2025-12-30,1010,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML",FARMACE,FOSFATO DISSODICO DE DEXAMETASONA," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",0.75,15000,0,0.73,157,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
6177,2025-03-11,2025-03-17,445,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML",HYPOFARMA,FOSFATO DISSODICO DE DEXAMETASONA," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",0.8,11000,27550,0.8,720,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA
201892,2026-03-20,2026-04-01,5247,ABAIXADOR LINGUA NAO ESTERIL INDIVIDUAL,THEOTO,PRODUTOS PARA SAUDE,ABAIXADOR LINGUA NAO ESTERIL,0.129,50000,5500,0.12,1181,THEOTO S A INDUSTRIA E COMERCIO
96523,2025-01-14,2025-01-23,2126,ABAIXADOR LINGUA NÃO ESTERIL INDIVIDUAL,ESTILO,PRODUTOS PARA SAUDE,ABAIXADOR LINGUA NAO ESTERIL,0.137095,20000,0,0.14,1183,ESTILO ARTEFATOS DE MADEIRAS LTDA
201892,2026-03-20,2026-04-01,1821,ABAIXADOR LINGUA NAO ESTERIL,THEOTO,PRODUTOS PARA SAUDE,ABAIXADOR LINGUA NAO ESTERIL,0.0394,15000,200,0.04,1181,THEOTO S A INDUSTRIA E COMERCIO
103790,2025-12-29,2026-01-08,4292,ABAIXADOR LINGUA NAO ESTERIL,ESTILO,PRODUTOS PARA SAUDE,ABAIXADOR LINGUA NAO ESTERIL,0.04,80000,0,0.04,1183,ESTILO ARTEFATOS DE MADEIRAS LTDA
80679,2025-08-28,2025-09-09,1554,ACEBROFILINA 10MG/ML XPE 120ML ADULTO,EMS,ACEBROFILINA,ACEBROFILINA (10MG/ML XAROPE 120ML ADULTO),10.59,360,360,6.0,7,EMS S/A
155813,2025-09-10,2025-09-17,2913,ACEBROFILINA 10MG/ML XPE 120ML AD,LABORATORIO GLOBO,ACEBROFILINA,ACEBROFILINA (10MG/ML XAROPE 120ML ADULTO),5.7,60,4,5.72,1218,LABORATORIO GLOBO SA
