cod_produto,desc_unimed,linha_produto,principio_ativo,best_cod_item,best_desc_global,sim_desc,sim_linha,best_sim,sim_bin
273,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML VP"," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",FOSFATO DISSODICO DE DEXAMETASONA,87065,ondansetrona 2 mg/ml sol inj 2 ml amp,0.7671232876712328,0.7605633802816901,0.7671232876712328,0.7-0.8
3304,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML "," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",FOSFATO DISSODICO DE DEXAMETASONA,87065,ondansetrona 2 mg/ml sol inj 2 ml amp,0.7428571428571429,0.7605633802816901,0.7605633802816901,0.7-0.8
1010,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML"," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",FOSFATO DISSODICO DE DEXAMETASONA,87065,ondansetrona 2 mg/ml sol inj 2 ml amp,0.7428571428571429,0.7605633802816901,0.7605633802816901,0.7-0.8
445,"DEXAMETASONA 4MG/ML SOL INJ 2,5ML"," DEXAMETASONA (4MG/ML SOLUCAO INJETAVEL 2,5ML) ",FOSFATO DISSODICO DE DEXAMETASONA,87065,ondansetrona 2 mg/ml sol inj 2 ml amp,0.7428571428571429,0.7605633802816901,0.7605633802816901,0.7-0.8
5247,ABAIXADOR LINGUA NAO ESTERIL INDIVIDUAL,ABAIXADOR LINGUA NAO ESTERIL,PRODUTOS PARA SAUDE,107287,avental estéril individual (capote),0.6027397260273972,0.3548387096774194,0.6027397260273972,0.6-0.7
2126,ABAIXADOR LINGUA NÃO ESTERIL INDIVIDUAL,ABAIXADOR LINGUA NAO ESTERIL,PRODUTOS PARA SAUDE,107287,avental estéril individual (capote),0.6027397260273972,0.3548387096774194,0.6027397260273972,0.6-0.7
1821,ABAIXADOR LINGUA NAO ESTERIL,ABAIXADOR LINGUA NAO ESTERIL,PRODUTOS PARA SAUDE,87444,abaixador de lingua em madeira (pct c/100),0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5-0.6
4292,ABAIXADOR LINGUA NAO ESTERIL,ABAIXADOR LINGUA NAO ESTERIL,PRODUTOS PARA SAUDE,87444,abaixador de lingua em madeira (pct c/100),0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5-0.6
1554,ACEBROFILINA 10MG/ML XPE 120ML ADULTO,ACEBROFILINA (10MG/ML XAROPE 120ML ADULTO),ACEBROFILINA,83643,acetilcisteína 40 mg/ml xpe fr 120 ml adulto,0.7901234567901234,0.7804878048780488,0.7901234567901234,0.7-0.8
2913,ACEBROFILINA 10MG/ML XPE 120ML AD,ACEBROFILINA (10MG/ML XAROPE 120ML ADULTO),ACEBROFILINA,83643,acetilcisteína 40 mg/ml xpe fr 120 ml adulto,0.7272727272727273,0.7804878048780488,0.7804878048780488,0.7-0.8
